Id,Código,Nombre,Categoria,Marca,Costo Base,Existencia actual,PRECIO DE VENTA DETAL,PRECIO DE Venta Mayor,fecha
530,703043,SQUAD-LUBICANTE DE CADENA,Otros,GW,6.29,0,10.00059524,8.00047619,7/20/2022
531,703044,SQUAD-DESENGRASANTE,Otros,GW,5.43,0,9.000571429,6.503428571,7/20/2022
532,703045,SQUAD DESENGRASANTE NARANJAS X430CC,Otros,Otras,8.162160919,0,14.00626814,9.998647126,7/20/2022
533,703052,KIT CUIDA TU BICI # 1 SQUAD,Otros,Otras,17.80555525,0,30.0023606,24.00188848,7/20/2022
534,703082,SQUAD LUBRICANTE DE CADENA EN GOTERO X ,Accesorios,GW,8.02,0,15.00542,9.5037,7/20/2022
535,704121,EXTRACTOR DE CADENA SUPE,herramientas,Otras,3.76,0,6.003297297,6.003297297,7/20/2022
536,706100,ACEITE MINERAL HIDRAULICO SHIMANO 100MM,Repuestos,Shimano,7.31,1,10.00008,8.497875,7/20/2022
537,706101,ACEITE FRENO DISCO SM-DBOIL 1000CC SHIMA,Otros,Shimano,21.12,0,45.00258532,35.0008373,7/20/2022
538,706106,GRASA SIS-SP41 SHIMANO 50G Y04180000,Otros,Shimano,15.71,1,30.00698016,20.00203571,7/20/2022
539,733666,MULTIHERRAMIENTA CLIFF R,herramientas,Cliff,15.11,0,20.00313514,18.00131081,7/20/2022
540,755926,Centrum Women,Nutricion,Otras,11.4218,1,17.0070602,15.0025343,7/20/2022
541,801440,MINI BOMBA ALUMINIO CAH-106 1 VIA BETO,Accesorios,BETO,7.270268784,0,12.00321376,9.996619578,7/20/2022
542,801445,MINIBOMBA GW GP-01,Accesorios,GW,10.73,0,15.00054,12.50045,7/20/2022
543,801446,MINIBOMBA BETO CRH-011 PB,Accesorios,BETO,4.24324327,0,10.00556763,6.004189227,7/20/2022
544,801448,MINIBOMBA GW M21-07 DOBLE ACCION,Accesorios,GW,6.791665583,0,10.0041234,8.50316531,7/20/2022
545,801501,MINI BOMBA PRO COMPACT TELESCOPICA,Accesorios,PRO,11.01,0,16.993935,13.613865,7/20/2022
546,801511,MICROINFLADOR PRO CO2 N,Accesorios,PRO,13.03,0,20.00951351,15.00452973,7/20/2022
547,801539,REPUESTO 0 CARTUCHO DE CO2,Accesorios,PRO,6.19,1,10.00791892,7.496345946,7/20/2022
548,804100,CANDADO CABLE ESPIRAL  6 X 150 87104,Accesorios,GW,2.51,0,5.00745,3.00447,7/20/2022
549,804105,PARCHE POR HOJA 3X18P NEGRO,Repuestos,Otras,3.88,0,6.007606894,6.007606894,7/20/2022
550,804145,KIT DE PARCHES DE 48 TH,Accesorios,Otras,2.85,0,4.000445946,3,7/20/2022
551,804146,KIT PARCHES 11 PIEZAS T,Accesorios,Otras,2.66,2,4.00122973,3,7/20/2022
552,804149,PARCHES REDONDO x 50 YP,Accesorios,Otras,2.92,1,4.007675676,3.003567568,7/20/2022
553,804205,JGO CINTAS CORCHO GW,Accesorios,GW,6.18,4,10.00233,7.50252,7/20/2022
554,804232,CINTA MANUBRIO CLASSIC PRO,Accesorios,PRO,10.72,5,17.00728,12.5,7/20/2022
555,804315,MANGOS BMX NEGROS VLG411 GW,Accesorios,GW,4.84,2,8.006621622,5.495783784,7/20/2022
556,804322,MANGOS MTB/BMX NEGROS VL,Accesorios,GW,9.84,0,15.0027027,12.00216216,7/20/2022
557,804341,Punos BMX  GW Gorila 145MM,Accesorios,GW,4.22,5,5,5.0007,7/20/2022
558,804407,MANGOS ESPUMA C/DEDOS LF-212 BICOLOR,Accesorios,Otras,3.5,2,5.001861659,4.2,7/20/2022
559,804427,MANGOS HANDLZ H-MX KRATO GW ,Accesorios,GW,4.07,0,7.004351351,5.003108108,7/20/2022
560,804488,MANGOS MTB SZ-140 130MM,Accesorios,Otras,5.18,11,7.00854,5.50116,7/20/2022
